"goal","dimension","region_id","score","region_label"
"FIS","score",134,28.9,"El Salvador"
"FIS","score",135,43.71,"Mexico"
"FIS","score",136,53.54,"Guatemala"
"FIS","score",137,25.78,"Ecuador"
"FIS","score",138,68.12,"Peru"
"FIS","score",139,20.05,"Venezuela"
"FIS","score",140,2.15,"Guadeloupe and Martinique"
"FIS","score",141,36.48,"Faeroe Islands"
"FIS","score",143,26.73,"Iceland"
"FIS","score",144,31.79,"Jan Mayen"
"FIS","score",145,40.41,"Greenland"
"FIS","score",146,27.26,"Pitcairn"
"FIS","score",147,33.38,"French Polynesia"
"FIS","score",148,,"Line Group"
"FIS","score",149,26.8,"Jarvis Island"
"FIS","score",150,22.64,"Palmyra Atoll"
"FIS","score",151,28.56,"American Samoa"
"FIS","score",152,26.28,"Samoa"
"FIS","score",153,26.44,"Cook Islands"
"FIS","score",154,27.45,"Niue"
"FIS","score",155,51.12,"Tonga"
"FIS","score",156,50.4,"Tokelau"
"FIS","score",157,,"Phoenix Group"
"FIS","score",158,85.5,"Howland Island and Baker Island"
"FIS","score",159,22.6,"Johnston Atoll"
"FIS","score",161,90,"Wallis and Futuna"
"FIS","score",162,31.71,"New Zealand"
"FIS","score",163,45.21,"United States"
"FIS","score",164,13.65,"Belize"
"FIS","score",166,1.04,"Jamaica"
"FIS","score",167,3.09,"Guyana"
"FIS","score",168,2.08,"Suriname"
"FIS","score",169,9.72,"French Guiana"
"FIS","score",171,32.5,"Brazil"
"FIS","score",172,35.04,"Argentina"
"FIS","score",173,51.1,"Uruguay"
"FIS","score",174,33.78,"Finland"
"FIS","score",175,31.16,"Denmark"
"FIS","score",176,31.19,"Germany"
"FIS","score",177,30.25,"Netherlands"
"FIS","score",178,32.82,"Poland"
"FIS","score",179,36.37,"France"
"FIS","score",180,41.69,"United Kingdom"
"FIS","score",181,43.78,"Ireland"
"FIS","score",182,29.53,"Spain"
"FIS","score",183,31.92,"Portugal"
"FIS","score",184,25.91,"Italy"
"FIS","score",185,,"Monaco"
"FIS","score",186,29.53,"Montenegro"
"FIS","score",187,26.73,"Croatia"
"FIS","score",188,26.71,"Slovenia"
"FIS","score",189,32.66,"Lithuania"
"FIS","score",190,35.42,"Qatar"
"FIS","score",191,29.4,"Iran"
"FIS","score",192,15.31,"Iraq"
"FIS","score",193,32.32,"Guinea Bissau"
"FIS","score",194,40.03,"Guinea"
"FIS","score",195,43.14,"Ivory Coast"
"FIS","score",196,26.59,"Nigeria"
"FIS","score",197,36.1,"Cameroon"
"FIS","score",198,41.98,"Gabon"
"FIS","score",199,19.48,"Democratic Republic of the Congo"
"FIS","score",200,13.05,"Angola"
"FIS","score",202,23.96,"Tanzania"
"FIS","score",203,26.88,"India"
"FIS","score",204,1,"Bangladesh"
"FIS","score",205,1.98,"Myanmar"
"FIS","score",206,63.52,"Malaysia"
"FIS","score",207,7.16,"Vietnam"
"FIS","score",208,75.67,"Singapore"
"FIS","score",209,25.27,"China"
"FIS","score",210,20.41,"Japan"
"FIS","score",212,57.69,"Kiribati"
"FIS","score",213,,"Antarctica"
"FIS","score",214,22.81,"Egypt"
"FIS","score",215,7.96,"Jordan"
"FIS","score",216,72.27,"Indonesia"
"FIS","score",218,50.75,"Canada"
"FIS","score",219,39.43,"Saint Pierre and Miquelon"
"FIS","score",220,6.43,"Sint Maarten"
"FIS","score",221,,"Northern Saint-Martin"
"FIS","score",222,33.83,"Sweden"
"FIS","score",223,35.9,"Norway"
"FIS","score",224,51.25,"Chile"
"FIS","score",227,,"Jersey"
"FIS","score",228,,"Guernsey"
"FIS","score",231,48.98,"East Timor"
"FIS","score",232,26.33,"Bosnia and Herzegovina"
"FIS","score",237,,"Oecussi Ambeno"
"FIS","score",244,,"Curacao"
"FIS","score",245,,"Bonaire"
"FIS","score",247,68.72,"Brunei"
"FIS","score",248,,"Saba"
"FIS","score",249,,"Sint Eustatius"
"FIS","score",250,24.04,"Aruba"
"MAR","score",0,26.14,"GLOBAL"
"MAR","score",1,,"Cocos Islands"
"MAR","score",2,,"Christmas Island"
